trump_word,trump_count,trump_frequency,trump_syllable,,obama_word,obama_frequency,obama_count,obama_syllable
president,1325,0.003018478,3,,president,0.021474921,2267,3
great,3494,0.007959669,1,,great,0.000587316,62,1
all,1895,0.004316993,1,,all,0.002728177,288,1
people,1767,0.004025396,2,,people,0.002775541,293,2
thank,1406,0.003203003,1,,thank,0.000549425,58,1
news,1295,0.002950135,1,,news,0.000549425,58,1
country,1162,0.002647148,2,,country,0.001752475,185,2
big,1208,0.00275194,1,,big,0.000682044,72,1
get,979,0.002230256,1,,get,0.002785014,294,1
fake,1172,0.002669929,1,,democrats,0.000151565,16,3
democrats,1151,0.002622089,3,,new,0.001828257,193,1
new,934,0.002127742,1,,would,0.001563018,165,1
would,957,0.002180138,1,,time,0.003182873,336,1
time,729,0.001660732,1,,today,0.003268129,345,2
today,704,0.00160378,2,,america,0.002709231,286,4
america,760,0.001731353,4,,many,0.00043575,46,2
many,991,0.002257593,2,,make,0.003220764,340,1
make,637,0.001451147,1,,never,0.00056837,60,2
never,915,0.002084458,2,,vote,0.001856676,196,1
vote,768,0.001749578,1,,one,0.002519775,266,1
one,670,0.001526325,1,,want,0.001600909,169,1
want,738,0.001681235,1,,years,0.001648274,174,1
years,717,0.001633395,1,,american,0.002150334,227,4
american,662,0.0015081,4,,states,0.001032539,109,1
states,729,0.001660732,1,,back,0.001752475,185,1
back,652,0.001485319,1,,election,0.001051485,111,3
election,719,0.001637951,3,,good,0.000956757,101,1
good,715,0.001628839,1,,much,0.00043575,46,1
much,760,0.001731353,1,,even,0.000454696,48,2
even,748,0.001704016,2,,jobs,0.00267134,282,1
jobs,511,0.001164107,1,,going,0.001259887,133,1
going,653,0.001487597,1,,like,0.001155686,122,1
like,655,0.001492153,1,,job,0.001146213,121,1
job,637,0.001451147,1,,done,0.0007673,81,1
done,662,0.0015081,1,,congress,0.003343911,353,2
border,716,0.001631117,2,,state,0.000672571,71,1
congress,349,0.000795056,2,,house,0.001108322,117,1
state,625,0.00142381,1,,united,0.000587316,62,2
house,567,0.001291681,1,,must,0.000341022,36,1
media,684,0.001558218,2,,because,0.001193577,126,2
united,609,0.001387361,2,,china,0.00013262,14,2
must,625,0.00142381,1,,day,0.002121915,224,1
because,529,0.001205113,2,,win,0.000653626,69,1
china,639,0.001455704,2,,nothing,0.000350495,37,2
day,425,0.000968191,1,,way,0.00070099,74,1
win,574,0.001307627,1,,first,0.001430398,151,1
nothing,597,0.001360024,2,,work,0.002074551,219,1
way,550,0.001252953,1,,see,0.000871501,92,1
first,457,0.00104109,1,,go,0.001458817,154,1
work,373,0.00084973,1,,military,0.000113674,12,4
see,496,0.001129936,1,,republican,0.000521006,55,4
go,425,0.000968191,1,,economy,0.002017714,213,4
military,548,0.001248397,4,,biden,0.000341022,36,2
republican,503,0.001145882,4,,help,0.002065078,218,1
economy,344,0.000783665,4,,last,0.001553545,164,1
biden,519,0.001182332,2,,americans,0.003296547,348,4
help,335,0.000763162,1,,got,0.001383034,146,1
last,387,0.000881623,1,,made,0.000719936,76,1
americans,203,0.000462454,4,,ever,0.000473642,50,2
got,403,0.000918073,1,,total,4.74E-05,5,2
made,469,0.001068427,1,,bad,1.04E-04,11,1
ever,493,0.001123101,2,,tax,0.002093497,221,1
total,538,0.001225616,2,,year,0.001790366,189,1
bad,530,0.001207391,1,,before,0.000899919,95,2
tax,313,0.000713044,1,,said,0.000748354,79,1
year,343,0.000781387,1,,need,0.001922986,203,1
before,433,0.000986416,2,,world,0.000786245,83,1
said,447,0.001018309,1,,history,0.000312604,33,3
need,322,0.000733547,1,,strong,0.000416805,44,1
world,433,0.000986416,1,,working,0.000814664,86,2
history,476,0.001084374,3,,joe,0.000113674,12,1
strong,462,0.001052481,1,,hard,0.000805191,85,1
working,406,0.000924907,2,,crime,3.79E-05,4,1
joe,477,0.001086652,1,,fact,2.11E-03,223,1
hard,402,0.000915795,1,,well,0.000596789,63,1
dems,473,0.00107754,1,,support,0.001847203,195,2
crime,468,0.001066149,1,,republicans,0.00056837,60,4
fact,248,0.000564968,1,,far,0.000284185,30,1
well,404,0.000920351,1,,right,0.001354616,143,1
support,271,0.000617364,2,,health,0.003789135,400,1
republicans,402,0.000915795,4,,against,0.000369441,39,2
far,419,0.000954522,1,,look,0.000719936,76,1
right,303,0.000690263,1,,watch,0.002140861,226,1
health,46,0.000104792,1,,left,0.000511533,54,1
against,406,0.000924907,2,,deal,0.000189457,20,1
look,361,0.000822393,1,,wall,0.000246294,26,1
watch,211,0.000480678,1,,better,0.000786245,83,2
left,381,0.000867955,1,,security,0.000407332,43,4
deal,412,0.000938576,1,,two,0.000625207,66,1
wall,406,0.000924907,1,,take,0.001316724,139,1
better,348,0.000792778,2,,care,0.002756595,291,1
security,383,0.000872511,4,,law,0.000748354,79,1
two,358,0.000815558,1,,really,0.000151565,16,2
take,284,0.000646979,1,,long,0.000587316,62,1
care,130,0.000296153,1,,democrat,4.74E-05,5,3
law,340,0.000774553,1,,keep,1.37E-03,145,1
really,397,0.000904404,2,,campaign,0.0007673,81,2
long,350,0.000797334,1,,trade,3.79E-05,4,1
democrat,405,0.000922629,3,,every,1.78E-03,188,3
keep,255,0.000580915,1,,endorsement,9.47E-06,1,4
campaign,316,0.000719878,2,,party,2.65E-04,28,2
trade,392,0.000893014,1,,national,0.000359968,38,3
every,201,0.000457897,3,,russia,1.89E-05,2,2
endorsement,388,0.000883901,4,,best,6.82E-04,72,1
party,360,0.000820115,2,,act,0.002046133,216,1
national,347,0.000790499,3,,together,0.000928338,98,3
russia,382,0.000870233,2,,let,0.000985175,104,1
best,311,0.000708488,1,,come,0.000843082,89,1
act,165,0.000375886,1,,senate,0.000748354,79,2
together,283,0.000644701,3,,women,0.002027187,214,2
let,276,0.000628755,1,,usa,0.000170511,18,1
come,287,0.000653814,1,,complete,8.53E-05,9,2
senate,295,0.000672038,2,,white,4.26E-04,45,1
women,154,0.000350827,2,,always,0.000331549,35,2
usa,349,0.000795056,1,,change,0.002264008,239,1
complete,354,0.000806446,2,,forward,0.001117795,118,2
white,317,0.000722157,1,,north,7.58E-05,8,1
witch,360,0.000820115,1,,say,9.47E-04,100,1
always,324,0.000738103,2,,cant,0.001326197,140,1
change,115,0.000261981,1,,congratulations,0.000161038,17,5
hunt,353,0.000804168,1,,getting,0.000426278,45,2
forward,235,0.000535353,2,,governor,0.000217875,23,3
north,340,0.000774553,1,,honor,0.000322076,34,2
say,247,0.00056269,1,,night,0.000492588,52,1
cant,207,0.000471566,1,,could,0.000871501,92,1
congratulations,330,0.000751772,5,,million,0.001875622,198,2
getting,301,0.000685707,2,,money,0.000303131,32,2
governor,318,0.000724435,3,,happy,0.000937811,99,2
honor,306,0.000697097,2,,bill,0.000786245,83,1
night,286,0.000651536,1,,taxes,0.000994648,105,1
could,245,0.000558134,1,,others,7.58E-05,8,2
million,131,0.000298431,2,,pay,1.56E-03,165,1
money,296,0.000674317,2,,things,0.000255767,27,1
happy,227,0.000517128,2,,end,0.000691517,73,1
bill,241,0.000549021,1,,federal,0.000464169,49,3
taxes,216,0.000492069,1,,coming,0.000208402,22,2
others,313,0.000713044,2,,call,0.000587316,62,1
pay,155,0.000353105,1,,love,0.000521006,55,1
things,293,0.000667482,1,,didnt,0.00019893,21,1
end,245,0.000558134,1,,important,0.000587316,62,3
federal,269,0.000612808,3,,administration,0.000142093,15,5
coming,295,0.000672038,2,,stop,0.000596789,63,1
call,251,0.000571802,1,,another,0.000407332,43,3
love,252,0.00057408,1,,give,0.000890447,94,1
didnt,286,0.000651536,1,,totally,9.47E-06,1,3
important,245,0.000558134,3,,fight,9.95E-04,105,1
administration,288,0.000656092,5,,dollars,0.00013262,14,2
stop,237,0.000539909,1,,record,0.000312604,33,2
another,257,0.000585471,3,,believe,0.001051485,111,2
give,204,0.000464732,1,,families,0.001515654,160,3
totally,297,0.000676595,3,,tonight,0.000663099,70,2
fight,192,0.000437394,1,,washington,0.000416805,44,3
dollars,283,0.000644701,2,,put,0.000663099,70,1
collusion,296,0.000674317,3,,everyone,0.000615734,65,3
record,262,0.000596861,2,,making,0.000738881,78,2
believe,184,0.00041917,2,,looking,0.000123147,13,2
